Security Identifier,Issuer,Type,Total Quantity,Average Cost (R$),Total Cost (R$),Gain / Loss,Unit Price (R$),Total Amount (R$),%Net Assets
ABEV3,AMBEV S/A,Ação,189.4,"14,53","2.752.244,23","192.925,77","15,55","2.945.170,00","0,00"
ALPA4,ALPARGATAS,Ação,8.9,"44,94","399.929,52","-213.118,52","20,99","186.811,00","0,00"
AMER3,B2W DIGITAL,Ação,26.664,"51,41","1.370.868,09","-958.909,29","15,45","411.958,80","0,00"
ARZZ3,AREZZO CO,Ação,2.7,"92,93","250.907,02","1.029,98","93,31","251.937,00","0,00"
ASAI3,SENDAS,Ação,34.0,"9,15","310.943,71","350.356,29","19,45","661.300,00","0,00"
AZUL4,AZUL,Ação,14.9,"29,25","435.808,21","-191.448,21","16,40","244.360,00","0,00"
B3SA3,B3,Ação,242.542,"11,97","2.904.224,59","212.440,11","12,85","3.116.664,70","0,00"
BBAS3,BANCO DO BRASIL,Ação,61.0,"34,97","2.133.446,28","405.983,72","41,63","2.539.430,00","0,00"
BBDC3,BRADESCO,Ação,65.368,"17,79","1.163.064,92","-113.254,84","16,06","1.049.810,08","0,00"
BBDC4,BRADESCO,Ação,221.392,"17,25","3.818.835,87","465.099,33","19,35","4.283.935,20","0,00"
BBSE3,BBSEGURIDADE,Ação,29.4,"25,13","738.820,38","104.371,62","28,68","843.192,00","0,00"
BEEF3,MINERVA,Ação,11.8,"10,94","129.090,87","49.207,13","15,11","178.298,00","0,00"
BPAC11,BTGP BANCO,Unit/ADR,52.8,"20,42","1.077.922,47","318.637,53","26,45","1.396.560,00","0,00"
BPAN4,BANCO PAN,Ação,13.7,"15,70","215.116,91","-105.105,91","8,03","110.011,00","0,00"
